# branch	expected_sha
agent/acquisition-f401-ratchet	d9e6c551b2726cc05809d6d748fe1d7cdd0f4ef9
agent/allow-single-telegram-admin-prod	4862f5a0fd79fa583b68649ac8557ed2843bc205
agent/allow-single-telegram-admin-prod-v2	4862f5a0fd79fa583b68649ac8557ed2843bc205
agent/canonical-external-integrations	0d804a88c56c6e6ca6d64d2e2469a5a0bcf1dbf5
agent/canonical-external-provider-integrations	0d804a88c56c6e6ca6d64d2e2469a5a0bcf1dbf5
agent/canonical-growth-commercial-contract	b0e6f4fa9e62c2aaa11abaea073882684a2ef139
agent/canonical-growth-commercial-entitlement	cadfaa6e2faace85a0407b88e2426d685eb2eba1
agent/canonical-partnership-growth-rebased	4d35021d2b68be9afefb6d83a70bade2d599a782
agent/canonical-product-catalog-loading	594ac497c93d9ccac3c0c25b877631131d908061
agent/canonical-tenant-plan-activation	6a143a5c1e20a19b3a04929729d2414546722136
agent/click-economics-f401-ratchet	6b1b08e2a4ecee69b7e4893efcab8dbbda3768aa
agent/external-integrations-canonical-v7	0d804a88c56c6e6ca6d64d2e2469a5a0bcf1dbf5
agent/external-integrations-canonical-v8	6ab50f0a33069fdb4c6472ade83104f9b2cc6c20
agent/owner-acquisition-feasibility	c8ad6fd7f683c1de5b0c183056eb4108c06cdcfa
agent/provider-agnostic-payment-effects	69fe538ec53fc5f96758d58522045ac9d96f90b9
fix/single-admin-production-telegram	6860b4a86b5da1ad24eb02ff340d7fc955a1157e
